name,main_category,subcategory,source_url,image_url,source_vendor,external_id,local_image_path
MODERN GOLD FLATWARE,Uncategorized,FLATWARE,https://www.rentalreserve.ca/rental-collection-3iZ1R/p/black-cutlery-ltd3r-n6bgt-de2rs,http://static1.squarespace.com/static/63caf8ee90c60b6d050ba7f6/640796cdf3881059832c1655/6418f395abb7e42d3e11f410/1708451753891/MODERN+GOLD+CUTLERY.jpg?format=1500w,Rental Reserve,black-cutlery-ltd3r-n6bgt-de2rs,images/flatware/black-cutlery-ltd3r-n6bgt-de2rs.jpg
WHITE AND GOLD FLATWARE,Uncategorized,FLATWARE,https://www.rentalreserve.ca/rental-collection-3iZ1R/p/black-cutlery-ltd3r-n6bgt-de2rs-ynfpm-x5yw5,http://static1.squarespace.com/static/63caf8ee90c60b6d050ba7f6/640796cdf3881059832c1655/6418f3f418899f5c388b86b5/1708451768081/WHITE+AND+GOLD+CUTLERY.jpg?format=1500w,Rental Reserve,black-cutlery-ltd3r-n6bgt-de2rs-ynfpm-x5yw5,images/flatware/black-cutlery-ltd3r-n6bgt-de2rs-ynfpm-x5yw5.jpg
GOLD AND BLUSH FLATWARE,Uncategorized,FLATWARE,https://www.rentalreserve.ca/rental-collection-3iZ1R/p/black-cutlery-ltd3r-n6bgt,http://static1.squarespace.com/static/63caf8ee90c60b6d050ba7f6/640796cdf3881059832c1655/6418f37c35eac025462b17d2/1708451778403/GOLD+AND+BLUSH+CUTLERY.jpg?format=1500w,Rental Reserve,black-cutlery-ltd3r-n6bgt,images/flatware/black-cutlery-ltd3r-n6bgt.jpg
BLACK & GOLD FLATWARE,Uncategorized,FLATWARE,https://www.rentalreserve.ca/rental-collection-3iZ1R/p/black-dip-gold-flateware,http://static1.squarespace.com/static/63caf8ee90c60b6d050ba7f6/640796cdf3881059832c1655/65b447ff0c4dc31a49dbfa0c/1708451789938/Modern+Gold+black+dipped+cutlery.jpg?format=1500w,Rental Reserve,black-dip-gold-flateware,images/flatware/black-dip-gold-flateware.jpg
BLACK FLATWARE,Uncategorized,FLATWARE,https://www.rentalreserve.ca/rental-collection-3iZ1R/p/black-cutlery,http://static1.squarespace.com/static/63caf8ee90c60b6d050ba7f6/640796cdf3881059832c1655/6418f3402322567729224d34/1708451799687/BLACK+CUTLERY.jpg?format=1500w,Rental Reserve,black-cutlery,images/flatware/black-cutlery.jpg
ORNATE FLATEWARE,Uncategorized,FLATWARE,https://www.rentalreserve.ca/rental-collection-3iZ1R/p/black-cutlery-ltd3r-n6bgt-de2rs-ynfpm,http://static1.squarespace.com/static/63caf8ee90c60b6d050ba7f6/640796cdf3881059832c1655/6418f3c1b4c39c620a666061/1706314733234/ORNATE+CUTLERY.jpg?format=1500w,Rental Reserve,black-cutlery-ltd3r-n6bgt-de2rs-ynfpm,images/flatware/black-cutlery-ltd3r-n6bgt-de2rs-ynfpm.jpg
ROSEWATER & GOLD ACRYLIC FLATWARE,Uncategorized,FLATWARE,https://www.rentalreserve.ca/rental-collection-3iZ1R/p/gold-pink-acrylic-flateware,http://static1.squarespace.com/static/63caf8ee90c60b6d050ba7f6/640796cdf3881059832c1655/65b44ad8a01eff623371298c/1708451843644/GOLD+%26+PINK+ACRYLI+CUTLERY.png?format=1500w,Rental Reserve,gold-pink-acrylic-flateware,images/flatware/gold-pink-acrylic-flateware.png
GOLD & MARBLE FLATWARE,Uncategorized,FLATWARE,https://www.rentalreserve.ca/rental-collection-3iZ1R/p/gold-marble-flateware,http://static1.squarespace.com/static/63caf8ee90c60b6d050ba7f6/640796cdf3881059832c1655/65b446a60c4dc31a49dbf8f6/1708451819878/Marble+Gold+-+Cutlery.jpg?format=1500w,Rental Reserve,gold-marble-flateware,images/flatware/gold-marble-flateware.jpg
GOLD ACRYLIC FLATWARE,Uncategorized,FLATWARE,https://www.rentalreserve.ca/rental-collection-3iZ1R/p/black-cutlery-ltd3r,http://static1.squarespace.com/static/63caf8ee90c60b6d050ba7f6/640796cdf3881059832c1655/6418f361927e7e7295a58b66/1706313712460/GOLD+ACRYLIC+FLATWARE.jpg?format=1500w,Rental Reserve,black-cutlery-ltd3r,images/flatware/black-cutlery-ltd3r.jpg
SILVER & IVORY FLATWARE,Uncategorized,FLATWARE,https://www.rentalreserve.ca/rental-collection-3iZ1R/p/silver-ivory-flateware,http://static1.squarespace.com/static/63caf8ee90c60b6d050ba7f6/640796cdf3881059832c1655/65b44dd6a01eff6233712b78/1708451808264/SABLE+IVORY++TABLEWARE+%281%29.png?format=1500w,Rental Reserve,silver-ivory-flateware,images/flatware/silver-ivory-flateware.png
MELODY - CRYSTAL CHAMPAGNE COUPE,Uncategorized,GLASSWARE,https://www.rentalreserve.ca/rental-collection-3iZ1R/p/crystal-champagne-coupe,http://static1.squarespace.com/static/63caf8ee90c60b6d050ba7f6/640796cdf3881059832c1655/6806b76b36ea51214f44f04b/1745270749327/Crystal+Champagne+coupe.png?format=1500w,Rental Reserve,crystal-champagne-coupe,images/glassware/crystal-champagne-coupe.png
MELODY - -CRYSTAL WINE GLASS,Uncategorized,GLASSWARE,https://www.rentalreserve.ca/rental-collection-3iZ1R/p/crystal-champagne-stnhc-3sf2c-f7927,http://static1.squarespace.com/static/63caf8ee90c60b6d050ba7f6/640796cdf3881059832c1655/641a06302ce0367b8d020b41/1745271385040/glassesaccent.png?format=1500w,Rental Reserve,crystal-champagne-stnhc-3sf2c-f7927,images/glassware/crystal-champagne-stnhc-3sf2c-f7927.png
MELODY - CRYSTAL CHAMPAGNE FLUTE,Uncategorized,GLASSWARE,https://www.rentalreserve.ca/rental-collection-3iZ1R/p/crystal-champagne,http://static1.squarespace.com/static/63caf8ee90c60b6d050ba7f6/640796cdf3881059832c1655/641a05728837b76b174d68a9/1745270772862/glassesGlass+Table-02.png?format=1500w,Rental Reserve,crystal-champagne,images/glassware/crystal-champagne.png
TIMELESS CRYSTAL WATER & ROCK GLASS,Uncategorized,GLASSWARE,https://www.rentalreserve.ca/rental-collection-3iZ1R/p/crystal-champagne-stnhc-3sf2c,http://static1.squarespace.com/static/63caf8ee90c60b6d050ba7f6/640796cdf3881059832c1655/641a05f3008d36742826d63e/1705332211649/glassesONE.png?format=1500w,Rental Reserve,crystal-champagne-stnhc-3sf2c,images/glassware/crystal-champagne-stnhc-3sf2c.png
PURPLE TINT - CHAMPAGNE,Uncategorized,GLASSWARE,https://www.rentalreserve.ca/rental-collection-3iZ1R/p/purple-tint-champagne,http://static1.squarespace.com/static/63caf8ee90c60b6d050ba7f6/640796cdf3881059832c1655/65bbce79f293ca6de1721761/1706806942776/Purple++champ+%281%29.png?format=1500w,Rental Reserve,purple-tint-champagne,images/glassware/purple-tint-champagne.png
PURPLE TINT - WINE,Uncategorized,GLASSWARE,https://www.rentalreserve.ca/rental-collection-3iZ1R/p/purple-tint-wine,http://static1.squarespace.com/static/63caf8ee90c60b6d050ba7f6/640796cdf3881059832c1655/65bbce56f9ff68758bdf7fc1/1706806901955/Purple++wine.png?format=1500w,Rental Reserve,purple-tint-wine,images/glassware/purple-tint-wine.png
PURPLE TINT - WATER,Uncategorized,GLASSWARE,https://www.rentalreserve.ca/rental-collection-3iZ1R/p/purple-tint-water,http://static1.squarespace.com/static/63caf8ee90c60b6d050ba7f6/640796cdf3881059832c1655/65bbce2b4b22757c4605f084/1706806867737/Purple+water+%281%29.png?format=1500w,Rental Reserve,purple-tint-water,images/glassware/purple-tint-water.png
PEACH TINT - CHAMPAGNE,Uncategorized,GLASSWARE,https://www.rentalreserve.ca/rental-collection-3iZ1R/p/peach-tint-champagne,http://static1.squarespace.com/static/63caf8ee90c60b6d050ba7f6/640796cdf3881059832c1655/65bbce04f9ff68758bdf7f6c/1706806820429/Peach+cham+%282%29.png?format=1500w,Rental Reserve,peach-tint-champagne,images/glassware/peach-tint-champagne.png
